"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","AVOYELLES","009","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","3,935","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","AVOYELLES","009","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","16,417","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","CATAHOULA","025","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","15,611","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","CONCORDIA","029","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","10,339","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","EVANGELINE","039","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","735","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","EVANGELINE","039","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","735","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","POINTE COUPEE","077","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","4,309","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","POINTE COUPEE","077","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","8,996","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","RAPIDES","079","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","3,441","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","RAPIDES","079","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","11,011","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","SAINT LANDRY","097","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","1,538","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","CENTRAL","50","SAINT LANDRY","097","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","8,557","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","EAST BATON ROUGE","033","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","EAST BATON ROUGE","033","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","EAST FELICIANA","037","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","SAINT HELENA","091","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","TANGIPAHOA","105","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","TANGIPAHOA","105","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","340","47.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","WASHINGTON","117","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","483","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","WASHINGTON","117","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","2,222","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","WASHINGTON","117","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","350","65.7"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","EAST CENTRAL","60","WASHINGTON","117","","","00000000","","CORN","CORN, SILAGE - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","543","47.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","CALDWELL","021","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","1,647","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","CLAIBORNE","027","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","42","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","OUACHITA","073","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","4,446","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","OUACHITA","073","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTH CENTRAL","20","OUACHITA","073","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","EAST CARROLL","035","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","19,957","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","FRANKLIN","041","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","19,602","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","FRANKLIN","041","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","FRANKLIN","041","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","MADISON","065","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","23,860","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","MOREHOUSE","067","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","32,974","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","MOREHOUSE","067","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","MOREHOUSE","067","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","55,095","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","RICHLAND","083","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","12,584","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","RICHLAND","083","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","RICHLAND","083","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","26,334","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","TENSAS","107","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","18,694","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","TENSAS","107","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)","775","68.0"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","TENSAS","107","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","44,232","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHEAST","30","WEST CARROLL","123","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","12,596","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHWEST","10","BOSSIER","015","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","1,400","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHWEST","10","BOSSIER","015","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","2,243","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHWEST","10","CADDO","017","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","3,133","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHWEST","10","CADDO","017","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","21,579","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHWEST","10","DE SOTO","031","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHWEST","10","DE SOTO","031","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","NORTHWEST","10","RED RIVER","081","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","SOUTH CENTRAL","80","IBERIA","045","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","SOUTH CENTRAL","80","LAFAYETTE","055","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","633","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","SOUTHWEST","70","ALLEN","003","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","SOUTHWEST","70","BEAUREGARD","011","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","SOUTHWEST","70","CALCASIEU","019","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","840","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","SOUTHWEST","70","CALCASIEU","019","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)","840","24.2"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","SOUTHWEST","70","JEFFERSON DAVIS","053","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","WEST CENTRAL","40","NATCHITOCHES","069","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (GENDER = FEMALE)","7,779","30.9"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","WEST CENTRAL","40","NATCHITOCHES","069","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = BLACK OR AFRICAN AMERICAN, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
"CENSUS","2017","YEAR","","COUNTY","LOUISIANA","22","WEST CENTRAL","40","NATCHITOCHES","069","","","00000000","","CORN","CORN, GRAIN - ACRES HARVESTED","PRODUCERS","PRODUCERS: (RACE = WHITE, ALONE OR COMBINED WITH OTHER RACES)"," (D)","(D)"
